year,place,title,author,categories,pageCount,averageRating,ratingsCount,publishedDate,description
2009,Wales,Eye of the Needle,Ken Follett,"Espionage, German",0.0,,,2009,The award-winning thriller that became an international bestseller and a distinguished film and launched the career of master storyteller Ken Follett.
2009,U.S.,Family Album,Danielle Steel,Fiction,450.0,4.5,2.0,2009-02-25,"Through forty years—from Hollywood's golden days in World War II to the present—Faye Price would create first a career as a legendary actress, then a family, and finally she would realize her dream of becoming one of Hollywood's first woman directors. But nothing was more precious to Faye than her f"
,U.S.,Fearless Fourteen,Janet Evanovich,,335.0,,,,
2017,England,Fifty Shades Darker,E. L. James,Fiction,0.0,,,2017-12-19,"See the world of Fifty Shades of Grey anew through the eyes of Christian Grey--a fresh perspective on the love story that has enthralled millions of readers around the world. Look for E L James’ passionate new love story, The Mister, available now. Their scorching, sensual affair ended in heartbreak"
2012,England,Fifty Shades Freed,E. L. James,Fiction,594.0,4.5,510.0,2012-03-19,"Romantic, liberating and totally addictive, the Fifty Shades trilogy will obsess you, possess you and stay with you for ever. When Ana Steele first encountered the driven, damaged entrepreneur Christian Grey, it sparked a sensual affair that changed both their lives irrevocably. Ana always knew that"
2015,England,Fifty Shades of Grey,E. L. James,Fiction,576.0,5.0,1.0,2015-06-18,"""'Fifty shades of Grey' as told by Christian""--Cover."
2021,England,Fifty Shades trilogy box set,E. L. James,Fiction,1783.0,,,2021-11-16,All three novels from Christian's point of view in EL James's #1 New York Times bestselling Fifty Shades of Grey series—now available in one e-book bundle. Discover the world of Fifty Shades: An Instant #1 New York Times Bestseller More than 165 Million Copies Sold Worldwide One of 100 Great Reads i
1987,U.S.,Fine Things,Danielle Steel,Fiction,334.0,,,1987,"Filled with romance, intrigue, and historical detail, nine classic novels by Americas beloved, #1 bestselling author Danielle Steel are available once again in these beautifully repackaged, special value-priced editions. Reissue."
2010,U.S.,Finger Lickin' Fifteen,Janet Evanovich,Fiction,203.0,5.0,1.0,2010-06-10,"Stephanie's out of the frying pan and into the firing line... Finger Lickin' Fifteen is the spiciest, sauciest, most rib-sticking Stephanie Plum adventure yet. Janet Evanovich's hilarious fifteenth novel in the series is not to be missed by fans of Harlan Coben and Sue Grafton. Praise for Evanovich:"
2016,U.S.,Firestarter,Stephen King,Fiction,576.0,,,2016-01-01,"Master storyteller Stephen King presents the classic #1 New York Times bestselling thriller, “his highest Fahrenheit reading yet” (Time). Andy McGee and Vicky Tomlinson were once college students looking to make some extra cash, volunteering as test subjects for an experiment orchestrated by the cla"
2009,U.S.,Five Days in Paris,Danielle Steel,Fiction,240.0,5.0,1.0,2009-12-01,"Peter Haskell, president of a major pharmaceutical company, has everything: power, position, and a family which mean everything to him. Olivia Thatcher is the wife of a famous senator. She has given to her husband's ambitions and career until her soul is bone-dry. She is trapped in a web of duty and"
1979,U.S.,Fools Die,Mario Puzo,Fiction,545.0,,,1979-10-01,"“A page-flipping tale of power, brutality and glamour (Library Journal) from the bestselling author of The Godfather. Played out in the underground worlds of high-stakes gambling, publishing, and the film industry, this epic thriller follows two brothers, Merlyn and Arite, as they delve into the dan"
2007,U.S.,For One More Day,Mitch Albom,Fiction,186.0,,,2007-04-01,"From the author of The Five People You Meet in Heaven and Tuesdays with Morrie, a new novel that millions of fans have been waiting for. ""Every family is a ghost story . . ."" Mitch Albom mesmerized readers around the world with his number one New York Times bestsellers, The Five People You Meet in H"
2010,U.S.,Ford County,John Grisham,,340.0,,,2010-03,"John Grisham returns with this seven short stories, all set in Ford Count, Mississipi, which is the location of his first novel, 'A Time to Kill'."
2011,U.S.,Four Blind Mice,James Patterson,Fiction,259.0,5.0,1.0,2011-06-23,"Alex Cross is preparing to resign from the Washington Police Force. He's enjoying the feeling; not least because the Mastermind is now in prison. And Alex has met a woman, Jamilla Hughes, and he is talking about the future. Then John Sampson shows up at the house, desperate for Alex's help. Three yo"
2016,U.S.,Four Past Midnight,Stephen King,Fiction,960.0,,,2016-01-01,"The #1 New York Times bestseller from master storyteller Stephen King—four chilling novellas that will “grab you and not let go” (The Washington Post). ONE PAST MIDNIGHT: The Langoliers takes a red-eye flight from Los Angeles to Boston into a most unfriendly sky. Only eleven passengers survive, but"
2023,U.S.,Fourth Wing,Rebecca Yarros,Fiction,639.0,,,2023-05-02,"DON'T BE THE LAST TO DISCOVER THE SERIES THAT EVERYONE CAN'T STOP TALKING ABOUT: 'Pure escapism - think Hunger Games meets Fifty Shades' The Sun 'We weren't expecting to become obsessed . . . but we very much are and we're not alone' Sunday Times Style 'This book contains an addictive, drug like ess"
2010,U.S.,Freedom,Jonathan Franzen,City and town life,0.0,,,2010,"The idyllic lives of civic-minded environmentalists Patty and Walter Berglund come into question when their son moves in with aggressive Republican neighbors, green lawyer Walter takes a job in the coal industry, and go-getter Patty becomes increasingly unstable and enraged."
2018,,Frozen,Victoria Saxon,Juvenile Fiction,15.0,,,2018-01-02,"This Little Golden Book features an original story about springtime starring Olaf, Anna, Elsa, and Kristoff from Disney's Frozen! Olaf already knows he loves summer, but what about spring? Anna, Elsa, and Kristoff get the snowman excited with tales of blooming flowers, sailing trips, and baby animal"
2012,U.S.,Full Circle,Danielle Steel,American fiction,368.0,,,2012,"At eighteen years old, beautiful Tana Roberts found that she didn't long for a husband, security, a home, or even children. All she knew was that, for her, a career came before marriage - even if that meant defying convention and the wishes of her fussing, over-protective mother. Throughout the turb"
2011,U.S.,"Full Dark, No Stars",Stephen King,Fiction,384.0,,,2011-05-24,"In four previously unpublished short works, a man explores his dark nature, a writer confronts a stranger, a cancer patient makes a deal with the devil, and a woman makes a horrifying discovery about her husband."
2010,U.S.,Gerald's Game,Stephen King,Fiction,343.0,,,2010-03-22,"A game. A husband and wife game. Gerald's Game. But this time Jesse doesn't want to play. Lying there, spread-eagled and handcuffed to the bedstead while he looms and drools over her, she feels angry and humiliated. So she kicks out hard. Aims to hit him where it hurts. He isn't meant to die, leavin"
2011,,Glorious Appearing,Jerry B. Jenkins and Tim LaHaye,Fiction,439.0,5.0,4.0,2011-03-16,"Thousands of years of human history stained by strife, death, and sin come to an end when the King of Glory returns to earth. The satisfying conclusion of the seven years of tribulation covered by the Left Behind series portrays the return of Jesus Christ to earth in both glory and judgment at the h"
2015,U.S.,Go Set a Watchman,Harper Lee,Fiction,232.0,3.0,4.0,2015-07-14,"#1 New York Times Bestseller “Go Set a Watchman is such an important book, perhaps the most important novel on race to come out of the white South in decades."" — New York Times A landmark novel by Harper Lee, set two decades after her beloved Pulitzer Prize–winning masterpiece, To Kill a Mockingbird"
2012,U.S.,Gone Girl,Gillian Flynn,Fiction,478.0,3.0,3.0,2012-05-24,"THE ADDICTIVE No.1 BESTSELLER AND INTERNATIONAL PHENOMENON OVER 20 MILLION COPIES SOLD WORLDWIDE THE BOOK THAT DEFINES PSYCHOLOGICAL THRILLER Who are you? What have we done to each other? These are the questions Nick Dunne finds himself asking on the morning of his fifth wedding anniversary, when hi"
1993,U.S.,"Goodbye, Janette",Harold Robbins,Businesswomen,0.0,,,1993-07,"With her keen instincts and rich sensuality Tanya Pojarska survived the fires of World War II and gained control of a vast fortune. Her two daughters inherited her beauty, her passion--and a legacy of pain and ambition. From a childhood of stark sexual terror, Janette rose to wealth and fame as a hi"
2018,U.S.,Gorky Park,Martin Cruz Smith,Fiction,384.0,,,2018-02-13,"The Arkady Renko book that started it all: the #1 bestseller Gorky Park, an espionage classic that begins the series, by Martin Cruz Smith, “the master of the international thriller” (The New York Times). It begins with a triple murder in a Moscow amusement center: three corpses found frozen in the"
2014,U.S.,Gray Mountain,John Grisham,Fiction,349.0,3.0,1.0,2014-10-21,"#1 NEW YORK TIMES BESTSELLER • John Grisham has a new hero ... and she’s full of surprises. The year is 2008 and Samantha Kofer’s career at a huge Wall Street law firm is on the fast track—until the recession hits and she is downsized, furloughed, and escorted out of the building. Samantha, though,"
1973,England,Great Lion of God,Taylor Caldwell,,669.0,,,1973,
2015,England,Grey,E. L. James,Fiction,576.0,5.0,1.0,2015-06-18,"""'Fifty shades of Grey' as told by Christian""--Cover."
